disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
Autoinflammation with arthritis and vasculitis,Other,4,0,0.0,35
Ovarian dysgenesis 11,Other,3,0,0.0,8
"Intellectual developmental disorder, autosomal recessive 81",Intellectual disability,10,0,0.0,54
"Spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia",Epilepsy / Neurological,24,0,0.0,26
Spinocerebellar ataxia 49,Epilepsy / Neurological,9,0,0.0,16
Combined oxidative phosphorylation deficiency 56,Other,3,0,0.0,20
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8",Other,4,0,0.0,18
Oculopharyngeal muscular dystrophy 2,Muscular dystrophy / Myopathy,11,0,0.0,15
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 6",Mitochondrial,5,0,0.0,25
"Bleeding disorder, vascular-type",Other,3,0,0.0,7
"Cardiomyopathy, dilated, 2K",Cardiomyopathy / Arrhythmia,4,0,0.0,11
"Arthrogryposis, distal, type 12",Other,5,0,0.0,27
"Neurodevelopmental disorder with impaired language, behavioral abnormalities, and dysmorphic facies",Intellectual disability,12,0,0.0,82
"Autoimmune disease, multisystem, infantile-onset, 3",Other,3,0,0.0,19
"Spastic ataxia 10, autosomal recessive",Epilepsy / Neurological,14,0,0.0,21
Developmental and epileptic encephalopathy 111,Epilepsy / Neurological,7,0,0.0,34
Developmental and epileptic encephalopathy 114,Epilepsy / Neurological,4,0,0.0,37
"Ciliary dyskinesia, primary, 52",Other,4,0,0.0,18
Neurodevelopmental disorder with language delay and variable cognitive abnormalities,Intellectual disability,4,0,0.0,19
"Autoinflammatory disease, systemic, with vasculitis",Other,4,0,0.0,55
"Ehlers-Danlos syndrome, vascular type",Marfan / Connective tissue,27,0,0.0,52
Aplasia cutis-enamel dysplasia syndrome,Other,8,0,0.0,19
Polycystic kidney disease 8,Renal / Nephrotic,13,0,0.0,12
"Dystonia 37, early-onset, with striatal lesions",Other,3,0,0.0,14
Birt-Hogg-Dube syndrome 2,Other,5,0,0.0,5
"Basal ganglia calcification, idiopathic, 10, autosomal recessive",Other,3,0,0.0,15
"Neuronopathy, distal hereditary motor, autosomal recessive 9",Other,6,0,0.0,15
"Spherocytosis, type 4",Other,7,0,0.0,7
"Immunodeficiency 114, folate-responsive",Immunodeficiency,4,0,0.0,29
"Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures",Intellectual disability,15,0,0.0,74
"Albinism, oculocutaneous, type IV",Other,30,0,0.0,7
"Ciliary dyskinesia, primary, 53",Other,3,0,0.0,17
"Muscular dystrophy, limb-girdle, autosomal recessive 28",Muscular dystrophy / Myopathy,14,0,0.0,33
Combined oxidative phosphorylation deficiency 58,Other,7,0,0.0,46
"Neuromuscular disorder, congenital, with dysmorphic facies",Other,10,0,0.0,67
"Autoinflammatory disease, multisystem, with immune dysregulation, X-linked",Other,9,0,0.0,45
"Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction",Intellectual disability,10,0,0.0,13
"Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity",Intellectual disability,13,0,0.0,88
"Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities",Intellectual disability,15,0,0.0,42
"Rothmund-Thomson syndrome, type 4",Other,7,0,0.0,39
Combined oxidative phosphorylation deficiency 59,Other,3,0,0.0,27
Tan-Almurshedi syndrome,Other,4,0,0.0,25
"Intellectual developmental disorder, autosomal recessive 82",Intellectual disability,3,0,0.0,13
"Spondyloepimetaphyseal dysplasia, Guo-Campeau type",Skeletal dysplasia,5,0,0.0,57
"Intellectual developmental disorder, autosomal dominant 75",Intellectual disability,12,0,0.0,31
Orofaciodigital syndrome XX,Other,5,0,0.0,29
Neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,Intellectual disability,16,0,0.0,51
"Intellectual developmental disorder, autosomal dominant 74",Intellectual disability,12,0,0.0,31
Craniometadiaphyseal osteosclerosis with hip dysplasia,Other,7,0,0.0,28
Xerosis and growth failure with immune and pulmonary dysfunction syndrome,Other,4,0,0.0,27
Neurodegeneration with brain iron accumulation 9,Other,5,0,0.0,32
"Congenital disorder of glycosylation, type IIbb",Other,4,0,0.0,30
"Immunodeficiency 118, mycobacteriosis",Immunodeficiency,3,0,0.0,9
"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly",Intellectual disability,3,0,0.0,23
"Lipodystrophy, familial partial, type 9",Other,7,0,0.0,44
Jeffries-Lakhani neurodevelopmental syndrome,Intellectual disability,18,0,0.0,106
Polydactyly-macrocephaly syndrome,Other,3,0,0.0,18
Seckel syndrome 11,Other,4,0,0.0,35
"Pulmonary hypertension, primary, 6",Other,4,0,0.0,17
Macular dystrophy with or without cone dysfunction,Vision / Retinal,7,0,0.0,7
"Intellectual developmental disorder, X-linked syndromic 37",Intellectual disability,19,0,0.0,199
"Muscular dystrophy, limb-girdle, autosomal recessive 29",Muscular dystrophy / Myopathy,23,0,0.0,41
Developmental and epileptic encephalopathy 115,Epilepsy / Neurological,4,0,0.0,20
Neurodevelopmental disorder plus optic atrophy,Intellectual disability,4,0,0.0,19
"Ehlers-Danlos syndrome, classic-like, 3",Marfan / Connective tissue,3,0,0.0,18
"Basal ganglia calcification, idiopathic, 9, autosomal recessive",Other,10,0,0.0,39
Immunodeficiency 121 with autoinflammation,Immunodeficiency,6,0,0.0,25
"Neuronopathy, distal hereditary motor, autosomal recessive 11, with spasticity",Other,13,0,0.0,28
Developmental and epileptic encephalopathy 116,Epilepsy / Neurological,8,0,0.0,18
ReNU syndrome,Other,61,0,0.0,209
Kleefstra syndrome 1,Other,120,0,0.0,86
"Intellectual developmental disorder, X-linked 114",Intellectual disability,8,0,0.0,25
Distal renal tubular acidosis 1,Renal / Nephrotic,17,0,0.0,10
Wolfram syndrome 1,Other,9,0,0.0,29
